Country Name,Country Code,Year,GDP per capita,Unemployment,Literacy,Health expenditure
Suriname,SUR,2012,8922.95618613502,8.1,0.8876,409.34564209
Tanzania,TZA,2012,854.543212890625,3.256,0.7699,41.63511276
Uganda,UGA,2012,796.711139328563,3.55,0.77962,55.14218903
Uruguay,URY,2012,16087.2520777973,6.45,0.98937,1332.7512207
Azerbaijan,AZE,2013,7875.3446110554,4.97,1.00017,234.2353363
Bangladesh,BGD,2013,973.773900233539,4.43,0.76953,27.40725899
Bosnia and Herzegovina,BIH,2013,5025.24065229631,27.49,0.97294,474.1942749
Brazil,BRA,2013,12258.5648491717,7.07,0.84701,977.81689453
Chile,CHL,2013,15833.2759194461,6.2,0.9289,1183.62084961
Dominican Republic,DOM,2013,6171.29506392047,7.35,0.90402,303.37979126
Ecuador,ECU,2013,6050.3546113274,3.08,0.90662,411.50024414
"Egypt, Arab Rep.",EGY,2013,3088.8908340843,13.154,0.81643,142.59768677
El Salvador,SLV,2013,3555.16209958481,3.69,0.85447,321.82662964
Guatemala,GTM,2013,3522.76754110253,3.02,0.81352,198.33766174
Honduras,HND,2013,2064.55051938928,5.65,0.84837,175.01651001
"Iran, Islamic Rep.",IRN,2013,6280.68186752661,10.6,0.82022,408.33044434
Mexico,MEX,2013,10865.6872912453,4.91,0.89533,631.21337891
Pakistan,PAK,2013,1126.04077606401,2.95,0.61279,28.99807867
Paraguay,PRY,2013,6435.82655022784,4.38,0.94415,390.28686523
Philippines,PHL,2013,2847.56795417743,3.5,0.96499,121.70754242
Senegal,SEN,2013,1391.53219002002,8.589,0.54364,61.02893066
Spain,ESP,2013,29077.1820557566,26.09,0.99284,2629.47631836
Thailand,THA,2013,6041.13401347979,0.25,0.9596,208.60844421
Uruguay,URY,2013,18140.8919180672,6.44,0.98644,1500.72717285
Uzbekistan,UZB,2013,2419.71874381787,4.86,1.00001,139.58699036
Angola,AGO,2014,5059.08044128816,9.58,0.51763,130.74234009
Azerbaijan,AZE,2014,7890.83525042681,4.91,1.00016,260.82696533
Bangladesh,BGD,2014,1108.51495720707,4.393,0.76606,30.29579544
Brazil,BRA,2014,12071.4046547485,6.76,0.85249,1013.56842041
Burkina Faso,BFA,2014,767.371344245295,4.206,0.3653,38.37065506
Burundi,BDI,2014,257.818557465694,1.57,0.69762,18.59082222
Cambodia,KHM,2014,1098.07453750857,0.69,0.82293,73.5883255
Colombia,COL,2014,8167.47284156278,8.57,0.90456,586.67822266
Cote d'Ivoire,CIV,2014,2124.01943006075,3.475,0.49853,79.31149292
Dominican Republic,DOM,2014,6533.67096798065,6.72,0.90462,313.45751953
Ecuador,ECU,2014,6374.6314856366,3.48,0.93238,428.62841797
Georgia,GEO,2014,4739.27780775509,17.44,0.99446,369.13842773
Guatemala,GTM,2014,3779.62604225079,2.72,0.80624,216.79504395
Guinea,GIN,2014,774.56903955885,4.916,0.31735,37.08630371
Honduras,HND,2014,2164.42451571622,7.08,0.85187,171.30480957
Indonesia,IDN,2014,3476.62485432866,4.05,0.95492,103.05883789
"Iran, Islamic Rep.",IRN,2014,5757.54333261849,10.68,0.82237,375.28466797
Maldives,MDV,2014,8872.12866368996,7.521,0.98687,702.09460449
Mexico,MEX,2014,11076.1341141975,4.81,0.90733,615.10314941
Moldova,MDA,2014,3289.16784588695,3.73,0.99716,230.76982117
Pakistan,PAK,2014,1173.39230924409,1.83,0.60916,33.04523914
Paraguay,PRY,2014,6629.4265185753,5.03,0.93984,439.34469604
Peru,PER,2014,6614.83049889676,3.21,0.87538,331.78091431
Rwanda,RWA,2014,724.728681179813,11.876,0.77353,50.62351608
South Africa,ZAF,2014,6965.1378973693,22.61,0.91165,547.83441162
Spain,ESP,2014,29513.65118004,24.44,0.99126,2679.51538086
Tunisia,TUN,2014,4398.63869540854,14.26,0.74935,283.7175293
Uruguay,URY,2014,18131.5788465661,6.55,0.98577,1480.01989746
