Country Name,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male,GDP per capita,Unemployment,Literacy,Health expenditure
Bangladesh,1981,9.1999998,24.5,45.200001,1.7,11582130,378311,11203820,235.0383907,,0.52859,
Barbados,1981,38,6.8000002,12,2.2,12000,2102,9898,4374.85175,,,
Belarus,1981,14.5,27.5,49.599998,9.3000002,2063107,384691,1678415,,,,
Belgium,1981,23.799999,32.200001,39.5,25.4,2537536,1034812,1502724,10622.80248,,,
Belize,1981,49.700001,10.9,19.700001,2,8686,768,7918,1318.127065,,,
Benin,1981,19.6,9.3000002,16,3.3,194339,36564,157775,327.5650358,,,
Bhutan,1981,41.799999,12,19,4,29048,4519,24529,324.6870481,,,
Bolivia,1981,3,33.299999,45.400002,21.9,1052926,354484,698443,1004.880903,,,
Bosnia and Herzegovina,1981,23.6,36.700001,45.799999,28.200001,1108744,439131,669613,,,,
Botswana,1981,31.4,15.4,25.9,5.6999998,84971,16433,68538,1092.664138,,,
Brazil,1981,38.5,19.299999,24.200001,14.4,14946760,5644610,9302149,2061.349954,,,
Brunei,1981,39.599998,11.6,14.4,8.3000002,14278,4645,9632,,,,
Bulgaria,1981,20.200001,29.200001,37.799999,20.9,2022897,731520,1291377,2234.814816,,,
Burkina Faso,1981,4.3000002,12.7,17.9,8,480470,158028,322441,249.2854637,,,
Burundi,1981,14.8,14.4,20.799999,8.6999998,339712,107638,232074,215.7876028,,,
Cambodia,1981,12.7,22.5,44,4.6999998,900286,102626,797660,,,,
Cameroon,1981,13.1,8.3000002,14.4,2.5,422321,63691,358630,748.7713995,,,
Canada,1981,28.4,36.299999,40.099998,32.5,6990103,3179130,3810974,12379.00464,,,
Cape Verde,1981,18.700001,6,10.1,2.9000001,9962,2740,7222,,,,
Central African Republic,1981,16.700001,8.3999996,16,1.2,113458,8000,105458,284.6377623,,,
Chad,1981,1.9,7.4000001,12.9,2.2,186768,28748,158021,198.8870062,,,
Chile,1981,8.6000004,35.299999,38.5,32.400002,2711960,1273952,1438008,2965.37426,,,
China,1981,15.7,29,51.200001,5.1999998,189686844,16609818,173077020,197.0714745,,,
Colombia,1981,30.299999,15.6,22.9,8.6000004,2563604,717056,1846548,1358.485452,,,
Comoros,1981,3.5,12.8,17.799999,7.8000002,22645,6964,15681,580.94102,,,
Congo,1981,22.6,8.8000002,16.700001,1.2,90205,6099,84106,,,,
Costa Rica,1981,34,10.3,15.1,5.4000001,157310,40164,117145,1057.416315,,,
Cote d'Ivoire,1981,23.6,9.3000002,15.1,2.4000001,437809,52381,385428,978.0747677,,,
Croatia,1981,19.200001,26.1,30.799999,22,907691,403527,504164,,,,
Cuba,1981,44.599998,21.299999,28.299999,14.1,1460280,482558,977722,2046.010188,,,
Cyprus,1981,20.200001,34.200001,46.5,22.5,157136,53050,104086,4033.240479,,,
Czech Republic,1981,21.6,25.200001,29.6,21.200001,1980462,872182,1108280,,,,
Democratic Republic of Congo,1981,8.6000004,7.9000001,15.1,1.2,1176274,89366,1086908,,,,
Denmark,1981,13,37.700001,37.900002,37.599998,1541261,786001,755260,12081.85759,,,
Djibouti,1981,13.1,20.9,35.099998,6.5,42091,6521,35570,,,,
Dominica,1981,39.200001,6.3000002,9.6000004,3.0999999,2896,714,2181,1125.80748,,,
Dominican Republic,1981,23.200001,15.6,19.6,11.5,537380,195714,341666,1284.789553,,,
Ecuador,1981,16.299999,8.5,14,3,403565,71434,332131,2611.254219,,,
Egypt,1981,23.5,15.8,31.1,1,4357565,134390,4223175,,,,
El Salvador,1981,19,11.1,19.9,3.0999999,289917,41509,248407,755.5659457,,,
Equatorial Guinea,1981,61.099998,8.3000002,15.9,1.1,11286,799,10487,123.6956486,,,
Eritrea,1981,32.099998,7.0999999,13.6,0.89999998,95578,6189,89389,,,,
Estonia,1981,13.2,26.5,40.400002,15.1,308048,96514,211534,,,,
Ethiopia,1981,7.0999999,4.5,8,1,880834,102492,778341,204.4985928,,,
Fiji,1981,22.5,16.1,27.299999,4.8000002,63829,9462,54367,1870.377328,,,
Finland,1981,18,24.200001,32.400002,16.700001,929914,336373,593541,10926.81797,,,
France,1981,20.4,29,41.299999,17.6,12254646,3859276,8395371,11116.86106,,,
Gabon,1981,12.6,9.1000004,16.299999,2.5999999,40940,6175,34765,5023.083671,,,
Gambia,1981,29.700001,15.8,31,1.1,53794,1849,51945,,,,
Georgia,1981,29.299999,24.4,46.799999,5.5,929790,114714,815076,,,,
Germany,1981,20,30.9,38.200001,24.5,19890335,8374680,11515654,10209.07312,,,
Ghana,1981,19.200001,4.9000001,8.6999998,1.1,299179,33089,266090,345.7344997,,,
Greece,1981,26.6,37,53.299999,21.700001,2787353,845443,1941910,5380.26762,,0.90012,
Grenada,1981,18.5,8.1000004,12.6,4.0999999,4434,1203,3231,1214.550407,,,
Guatemala,1981,9.5,8.3000002,14.3,2.3,325500,45055,280445,1217.264022,,,
Guinea,1981,2.5,6.8000002,12.2,1.5,179957,20898,159059,,,,
Guinea-Bissau,1981,3.2,7.5999999,12.8,2.5999999,35785,6201,29584,183.1240758,,,
Guyana,1981,25.9,11.7,21,2.7,52757,6297,46459,731.5215448,,,
Haiti,1981,11.3,10,15.5,4.9000001,342345,86261,256084,256.8314938,,,
Honduras,1981,21.200001,15.7,26.200001,5.4000001,313825,53627,260199,1038.031037,,,
Hungary,1981,25.9,32.900002,41.400002,25.1,2737314,1097973,1639341,,,,
Iceland,1981,25.700001,36.299999,38.799999,33.799999,60991,28325,32666,15137.28877,,,
India,1981,11.8,17.6,31.4,2.5999999,76586322,5487542,71098773,271.4261559,,0.50204,
Indonesia,1981,9,27.6,52.700001,3.0999999,24387207,1374567,23012642,563.7833647,,,
Iran,1981,25.5,12.5,21.700001,2.7,2829864,295899,2533965,,,,
Iraq,1981,21.4,17.799999,33,2.0999999,1328329,77238,1251091,2688.725452,,,
Ireland,1981,18.4,34.200001,37.400002,31,823828,375803,448026,5986.154109,,,
Israel,1981,21.200001,32.700001,38.700001,26.9,835598,349165,486432,,,,
Italy,1981,20.299999,31.6,43.099998,21,13993964,4854939,9139025,7622.833328,,,
Jamaica,1981,17.6,15,24.1,6.4000001,196392,42874,153518,1374.94212,,,
Japan,1981,23.299999,36.700001,61.700001,13.1,32881547,6044452,26837095,10360.1767,,,
Jordan,1981,25.6,28.5,45.900002,9.3999996,345571,54247,291324,1900.561763,,,
Kazakhstan,1981,23.9,19.9,27.200001,13.5,1980257,712720,1267537,,,,
Kenya,1981,11.5,11.1,20.6,1.7,935574,73858,861717,408.3466562,,,
Kiribati,1981,8.1999998,47,61.299999,33.400002,15687,5725,9962,705.7356043,,,
Kuwait,1981,32.5,31.4,48.299999,3.9000001,275330,13127,262203,15929.80057,,,
Kyrgyzstan,1981,24.5,21.1,42.5,1.8,491483,21909,469573,,,,
Laos,1981,17,34,56.5,12.4,625189,116864,508325,,,,
Latvia,1981,18,28.200001,43.799999,15.6,564329,172862,391467,,,,
Lebanon,1981,25.1,36.5,45.299999,28.1,584741,231367,353374,,,,
Lesotho,1981,26.9,20.700001,44.900002,1.3,154393,5328,149065,299.9569839,,,
Liberia,1981,11.3,7.8000002,14.4,1.2,83565,6537,77028,,,,
Libya,1981,51,16.299999,28.299999,2.0999999,282371,16655,265716,,,,
Lithuania,1981,13.8,20.9,35.700001,8.3000002,555433,119097,436336,,,,
Luxembourg,1981,26.5,32.400002,38.900002,26.200001,96209,40383,55826,13837.12998,,,
Macedonia,1981,22.700001,35.200001,44.599998,25.700001,477570,172941,304629,,,,
Madagascar,1981,6.9000001,22.299999,37.900002,6.5,1075978,156224,919754,516.9081925,,,
Malawi,1981,17.299999,13,23.700001,3.3,437724,58939,378785,276.2613277,,,
Malaysia,1981,23.6,23.4,45.099998,1.8,2034453,79786,1954667,1843.34937,,,
Maldives,1981,27.4,20.700001,31,8.5,18207,3441,14766,263.9435644,,,
Mali,1981,5.8000002,10.4,17.9,3.0999999,400407,60838,339569,204.3011034,,,
Malta,1981,36.200001,26.200001,31.5,21.200001,67142,28238,38904,3898.243037,,,
Marshall Islands,1981,22.1,19.5,33.599998,4.5999999,3428,397,3030,933.8029441,,,
Mauritania,1981,14,9.3000002,16,2.9000001,80307,12673,67633,712.446908,,,
Mauritius,1981,23.299999,21.1,39.799999,3.3,134385,10702,123683,1165.152987,,,
Mexico,1981,14,25.299999,37.900002,13.1,10136531,2679947,7456585,3810.310142,,,
Micronesia,1981,21.6,26,41.900002,10,10403,1982,8421,,,,
Moldova,1981,29.4,25.799999,48.799999,6.1999998,766688,98903,667784,,,,
Mongolia,1981,12.6,20.9,37.799999,4.8000002,205610,24102,181508,1328.237815,,,
Montenegro,1981,21.6,27,35.200001,19.200001,114055,41407,72648,,,,
Morocco,1981,22.5,13.5,26.9,0.69999999,1541757,43437,1498320,874.7869263,,,
Mozambique,1981,4.3000002,12.3,21.6,3.5999999,855124,128816,726308,,,,
Myanmar,1981,27.6,21.5,38,6.0999999,4481313,660068,3821244,31.21854617,,,
Namibia,1981,6.5,17.5,25.4,10.5,96293,30104,66188,2278.633174,,,
Nepal,1981,6.5,34.400002,47.599998,20.799999,2961400,883454,2077946,142.492984,,0.39426,
Netherlands,1981,11,29.1,33.700001,24.5,3237042,1389327,1847715,11520.44787,,,
New Zealand,1981,19.4,32.299999,34.400002,30.299999,748080,356146,391933,7813.936341,,,
Nicaragua,1981,25.799999,15.7,25.5,6,277278,53885,223392,728.3545015,,,
